34196
My Darling Clementine | Linda Darnell | cast_member
Milano trema: la polizia vuole giustizia | Ernesto Gastaldi | screenwriter
Eugene Worley | Politician | occupation
The Collection (film) | Lee Tergesen | cast_member
See You in My Nightmares | Kanye West | performer
The West Wing | Washington, D.C. | narrative_location
Shaan (film) | Shashi Kapoor | cast_member
As You Like It (1936 film) | Paul Czinner | producer
Arthur and the Invisibles | Luc Besson | producer
John Cox (sound engineer) | London | place_of_death
The Ring (1927 film) | Jack E. Cox | director_of_photography
Hugh de Courtenay, 2nd Earl of Devon | Exeter | place_of_death
Kurbaan (1991 film) | Kabir Bedi | cast_member
Bittersweet Bundle of Misery | Spectacular (Graham Coxon song) | followed_by
Bohol | Philippines | country
Eve Online | Valve Corporation | distributed_by
Thriller (Michael Jackson album) | Michael Jackson | producer
Christopher Walken | Film director | occupation
Folgore Division | Nino Rota | composer
Bucky Larson: Born to Be a Star | Adam Sandler | cast_member
Jack DeJohnette | Drum kit | instrument
Victor Tourjansky | Film director | occupation
Immaan Dharam | Prem Chopra | cast_member
Above Suspicion (1943 film) | Film | instance_of
Down the River of Golden Dreams | Don't Fall in Love with Everyone You See | follows
Where Are You Going on Holiday%3F | Luciano Tovoli | director_of_photography
Anna Christie (1930 English-language film) | Greta Garbo | cast_member
Maldives | Maldives | country
The Cheeky Devil | Hans-Otto Borgmann | composer
Toni (1935 film) | Jean Renoir | screenwriter
August: Osage County (film) | Harvey Weinstein | producer
Tie Me Up! Tie Me Down! | Spanish language | original_language_of_film_or_TV_show
Traffic (2000 film) | Marshall Herskovitz | producer
Kalangarai Vilakkam | M. N. Nambiar | cast_member
Shit Hits the Fan | Shady Records | record_label
Business magnate | Businessperson | subclass_of
These Thousand Hills | Charles G. Clarke | director_of_photography
Pedro Costa | Film director | occupation
Josef Straka (ice hockey) | Avtomobilist Yekaterinburg | member_of_sports_team
Morte di Un Amico | Italian language | original_language_of_film_or_TV_show
New Day (50 Cent song) | 50 Cent | performer
Westside Story (song) | Aftermath Entertainment | record_label
Biwi No.1 | Karisma Kapoor | cast_member
Maybe It's Me (TV series) | The WB | original_broadcaster
Macau | Asia | continent
About Time (2013 film) | United Kingdom | country_of_origin
Dick Tracy (1990 film) | Warren Beatty | director
Dishonored Lady | Film | instance_of
Black Hawk Down (film) | Film | instance_of
Alice in Wonderland (2010 film) | Christopher Lee | cast_member
Caron Butler | Dallas Mavericks | member_of_sports_team
A Little Too Late (Toby Keith song) | Toby Keith | performer
Big Miracle | Eric Fellner | producer
Invincible (2001 drama film) | Werner Herzog | producer
Nazi Germany | Hamburg | contains_the_administrative_territorial_entity
Questing, Not Coasting | The Kids Are Sick Again | follows
Ticker (2001 film) | Dennis Hopper | cast_member
Bridget Fonda | Peter Fonda | father
Kevin Penny | Widnes Vikings | member_of_sports_team
Hamlet (1996 film) | Columbia Pictures | distributed_by
Mother Is a Freshman | Film | instance_of
Veettuku Veedu | Jaishankar | cast_member
Sweet and Hot | Larry Fine | cast_member
No Down Payment | Joseph LaShelle | director_of_photography
Arthur Meighen | Presbyterianism | religion_or_worldview
Sierra Leone | Freetown | capital
Never Wanted Nothing More | Beer in Mexico (song) | follows
Souvenir d'Italie | Italian language | original_language_of_film_or_TV_show
The Girl of Your Dreams | Spanish Civil War | main_subject
Ya'qub ibn al-Layth al-Saffar | Amr ibn al-Layth | siblings
I'll Take the Rain | R.E.M. | performer
Uttar Dakshin | Film | instance_of
That Touch of Mink | Robert Arthur (film producer) | producer
Blues Brothers 2000 | Dan Aykroyd | screenwriter
Morning Musume | Japan | country
Veliko Tarnovo | Bayonne | twinned_administrative_body
Gary Paul Nabhan | Gary, Indiana | place_of_birth
Richard Pryor: Omit the Logic | Mel Brooks | cast_member
Saathiya (film) | Mani Ratnam | producer
R. B. Bennett | Dalhousie University | educated_at
Saint Petersburg | Isfahan | twinned_administrative_body
Kalvanin Kadhali (2006 film) | Sarath Babu | cast_member
The American (2010 film) | Italian language | original_language_of_film_or_TV_show
Flying Swords of Dragon Gate | Tsui Hark | director
Fire Garden | Steve Vai | performer
Wag the Dog | Robert De Niro | cast_member
Venice, the Moon and You | Italian language | original_language_of_film_or_TV_show
Green Day | Alternative rock | genre
Stay Hungry | Film | instance_of
Giovanni Garzoni | Bologna | place_of_death
Heat Wave (1990 film) | James Earl Jones | cast_member
The Lower Depths (1957 film) | Toshiro Mifune | cast_member
Julia (1977 film) | United Kingdom | country_of_origin
The Firemen of Viggiù | Italian language | original_language_of_film_or_TV_show
The Four Poster (film) | Dimitri Tiomkin | composer
T. L. V. Prasad | Film director | occupation
Anton Shenfeld | Metallurg Magnitogorsk | member_of_sports_team
Francis Cochrane | Progressive Conservative Party of Ontario | member_of_political_party
A Woman Rebels | Film | instance_of
Kim Beazley | Perth | place_of_birth
Adoration (2008 film) | Paul Sarossy | director_of_photography
Music Box (Eminem song) | Aftermath Entertainment | record_label
The Boy Who Knew Too Much (album) | The Origin of Love | followed_by
Laser Beam , Kasuka na Kaori | Perfume (Japanese band) | performer
The Long Gray Line | Maureen O'Hara | cast_member
Petar Brlek | Croatia | country_of_citizenship
Escape to Glory | Constance Bennett | cast_member
Madonna (entertainer) | Italian Americans | ethnic_group
Four Letter Word (Beady Eye song) | Beady Eye | performer
Cutting Room Floor | Picture (album) | follows
Of Life and Love | Aldo Fabrizi | screenwriter
James Moorhouse (politician) | United Kingdom | country_of_citizenship
Jazz ...It's Magic! | Curtis Fuller Volume 3 | followed_by
Leo Tolstoy | Literary realism | movement
Francis Joins the WACS | Donald O'Connor | cast_member
Brothers in Law (film) | Boulting brothers | producer
Douthyam | Shyam (composer) | composer
Two Missionaries | Italian language | original_language_of_film_or_TV_show
Malaya Marutha | Madhavi (actress) | cast_member
A Better Tomorrow 2 | Leslie Cheung | cast_member
Robert Krasker | London | place_of_death
Scandal Makers | Film | instance_of
Dear Goddamned Friends | Piero De Bernardi | screenwriter
Enemies, A Love Story (film) | Anjelica Huston | cast_member
Hermann Stuckmann | Wuppertal | place_of_birth
Movie 43 | Christophe Beck | composer
Windows XP | Windows Vista | followed_by
Inspector Clouseau (film) | Comedy | genre
The Libertine (2000 film) | Film | instance_of
Paul Broadbent | Hull F.C. | member_of_sports_team
Maro Charitra (1978 film) | M. S. Viswanathan | composer
Thomas Joseph Meskill | Lawyer | occupation
A Ticket to Tomahawk | Walter Brennan | cast_member
Neutral Port | United Kingdom | country_of_origin
Ricochet (film) | HBO Films | production_company
How Do You Know | Film | instance_of
Dwight Bialowas | Minnesota North Stars | member_of_sports_team
Turn My Back on You | Nothing Can Come Between Us | follows
Catch Me If You Can | Steven Spielberg | director
Goodnight, Ladies and Gentlemen | France | country_of_origin
Thank You Jan! | Japan | country_of_origin
Battle of Berlin | Eastern Front (World War II) | part_of
The Argyle Case | James Van Trees | director_of_photography
Major Distribution | Snoop Dogg | performer
Moby Dick (1956 film) | John Huston | producer
Automatic (The Jesus and Mary Chain album) | Blanco y Negro Records | record_label
The Time, the Place and the Girl (1946 film) | Jack Carson | cast_member
Zhejiang | Jiangsu | shares_border_with
Otto Arpke | Braunschweig | place_of_birth
Suraj Ka Satvan Ghoda | Film | instance_of
Troy (film) | United Kingdom | country_of_origin
Love Crazy (1941 film) | Jack Conway (filmmaker) | director
The Land Before Time VIII: The Big Freeze | The Land Before Time VII: The Stone of Cold Fire | follows
The Sawmill | Film | instance_of
The Uninvited (1944 film) | Paramount Pictures | production_company
Alain Sarde | France | country_of_citizenship
The Easiest Way | Constance Bennett | cast_member
Gambler (Madonna song) | Live to Tell | followed_by
Daniel Berthiaume | Minnesota North Stars | member_of_sports_team
Fredrik Modin | Toronto Maple Leafs | member_of_sports_team
Water Drops on Burning Rocks | France | country_of_origin
The Gingerbread Man (film) | Robert Duvall | cast_member
Test Pilot (film) | Howard Hawks | screenwriter
Vilnius | Taipei | twinned_administrative_body
Reunion in France | Edith Evanson | cast_member
King (2008 film) | Prasad Murella | director_of_photography
The Yankee Clipper (film) | William Boyd (actor) | cast_member
Melinda and Melinda | Johann Sebastian Bach | composer
The Ring (1927 film) | Alfred Hitchcock | director
Dr. Dre | Apple Inc. | employer
Frank Lautenberg | Lawyer | occupation
Brian Howard (footballer) | Winchester | place_of_birth
Curse of the Crimson Altar | American International Pictures | distributed_by
Nowsud | Paveh County | part_of
Tower Heist | Brett Ratner | director
Behind the Headlines (1956 film) | United Kingdom | country_of_origin
Momo (2001 film) | Enzo D'Alò | director
Ullam Ketkumae | Film | instance_of
Monte Criollo | Arturo S. Mom | director
Vaanam | Film | instance_of
Island in the Sun (film) | Film | instance_of
Gimik | Star Cinema | distributed_by
Nadodi (1966 film) | M. S. Viswanathan | composer
What's the Matador%3F | Jules White | producer
Foster Daddy, Tora! | Japan | country_of_origin
Doraemon: The Records of Nobita, Spaceblazer | TV Asahi | production_company
Gustaf Kossinna | Leipzig University | educated_at
Iain Morrison | London Broncos | member_of_sports_team
L'esprit (In the Nursery album) | Wax Trax! Records | record_label
New Delhi | Kuala Lumpur | twinned_administrative_body
I'll Be Going Now | Vittorio Gassman | cast_member
Nazi Agent | Jules Dassin | director
Once Upon a Time in Mexico | Robert Rodriguez | director_of_photography
Arrival (composition) | Polar Music | record_label
Jack Straw (1920 film) | Adolph Zukor | producer
Nowhere Man (song) | Parlophone | record_label
If a Body Meets a Body | Jules White | producer
Joe Somebody | Tim Allen | cast_member
Cedric Gervais | France | country_of_citizenship
London Borough of Barnet | London Borough of Brent | shares_border_with
Gerald Fink | Amherst College | educated_at
Marcus Stock | Keble College, Oxford | educated_at
The Clairvoyant | Maurice Elvey | director
Behold a Pale Horse (film) | Anthony Quinn | cast_member
Tie Me Up! Tie Me Down! | Film | instance_of
The Coming of Amos | Rod La Rocque | cast_member
John Howard | Politician | occupation
Anime | Japan | country
Eagles (band) | Geffen Records | record_label
Tirana | Athens | twinned_administrative_body
Jeff Sessions | Washington, D.C. | work_location
The Office (U.S. TV series) | Joss Whedon | director
Your Studio and You | James Cameron | cast_member
Cartman's Mom Is a Dirty Slut | Terrance and Phillip in Not Without My Anus | followed_by
Hangover Square (film) | Film | instance_of
Return to Peyton Place (film) | Franz Waxman | composer
Mumbai | Saint Petersburg | twinned_administrative_body
Shut Your Mouth (album) | Fat Wreck Chords | record_label
Jeene Do | Shakti Kapoor | cast_member
Johan de Witt | Dutch Reformed Church | religion_or_worldview
Christoph von Sigwart | Tübingen | place_of_birth
L'affaire Maurizius | Julien Duvivier | director
Rang De Basanti | Anupam Kher | cast_member
Vangede station | Dyssegård station | adjacent_station
Crack a Bottle | Jimmy Crack Corn (Eminem song) | follows
The Lady (2011 film) | France | country_of_origin
Un apprezzato professionista di sicuro avvenire | Film | instance_of
The Gay Sisters | Sol Polito | director_of_photography
Vimodrone (Milan Metro) | Azienda Trasporti Milanesi | maintained_by
Still in the Groove | Nana Mizuki | performer
Thicke of the Night | Talk show | genre
Amistad (film) | HBO Films | production_company
Belle of the Nineties | William LeBaron | producer
The Ice Follies of 1939 | Joan Crawford | cast_member
Who's Been Sleeping in My Bed%3F | Film | instance_of
Konstantin Makarov (ice hockey) | Ufa | place_of_birth
New York Stories | Talia Shire | cast_member
Matilda (1996 film) | Danny DeVito | director
Emmanuel Maurel | Sciences Po | employer
Deep Down (song) | Pam Tillis | performer
The Caretakers | Elmer Bernstein | composer
Jan Wouwerman | Haarlem | place_of_death
The Conspirator | Norman Reedus | cast_member
The New Age (film) | Mark Mothersbaugh | composer
The Purple Rose of Cairo | Milo O'Shea | cast_member
Jim Ware (basketball) | Houston Rockets | member_of_sports_team
Kazimierz Fajans | Ann Arbor, Michigan | place_of_death
Alan Hale, Sr. | Renal failure | cause_of_death
Bob Clampett | Film director | occupation
Brigham Young (film) | Linda Darnell | cast_member
Midway (film) | Robert Mitchum | cast_member
I Am... (Ayumi Hamasaki album) | Avex Trax | record_label
Bryn Mawr, Pennsylvania | Census-designated place | instance_of
John Howard (American actor) | Santa Rosa, California | place_of_death
Six of a Kind | Leo McCarey | director
Jacob's Ladder (film) | Danny Aiello | cast_member
Galkynyş District | Turkmenistan | country
Conan the Destroyer | Arnold Schwarzenegger | cast_member
Kerman County | Counties of Iran | instance_of
La Comédie du bonheur | Film | instance_of
The Case of the Constant Suicides | The Man Who Could Not Shudder | follows
Grand Ages: Rome | DVD | distribution_format
Warm Bodies (film) | Nicholas Hoult | cast_member
Please Pass the Guilt | Rex Stout | author
Before Midnight (novel) | Nero Wolfe | characters
Journey for Margaret | London | narrative_location
Nino Manfredi | Film director | occupation
True Colors (1991 film) | Herbert Ross | director
Danny Roane: First Time Director | Film | instance_of
I Vinti | Italian language | original_language_of_film_or_TV_show
I Know How He Feels | New Fool at an Old Game | followed_by
Sam Benedict | NBC | original_broadcaster
Torrance, California | Los Angeles County, California | located_in_the_administrative_territorial_entity
Tony Gonzalez (American football) | Tight end | position_played_on_team_/_speciality
Enver Hoxhaj | Politician | occupation
Celluloide | Carlo Lizzani | screenwriter
Knights of the Desert (film) | Italian language | original_language_of_film_or_TV_show
Fritz Kampers | Film director | occupation
Darius Morris | Philadelphia 76ers | member_of_sports_team
Necessary Roughness (TV series) | USA Network | original_broadcaster
Garfield Todd | Politician | occupation
Under Control (Parachute song) | She Is Love (Parachute song) | follows
Maine Gandhi Ko Nahin Mara | Film | instance_of
Hamlet (1948 film) | Laurence Olivier | screenwriter
Woh Jo Hasina | Ranjeeta Kaur | cast_member
Three (TV series) | Julie Bowen | cast_member
Nightcrawlers (The Twilight Zone) | The Twilight Zone (1985 TV series) | part_of_the_series
Illarikam | Girija (actress) | cast_member
Kill the Messenger (2014 film) | Paz Vega | cast_member
Union Station (film) | Paramount Pictures | production_company
Esena Foundation High School | Lahore | located_in_the_administrative_territorial_entity
The Career of a Chambermaid | Dino Risi | screenwriter
Mercury Rising | John Barry (composer) | composer
Sans Souci (album) | Fat Wreck Chords | record_label
The Sleuth (film) | Stan Laurel | cast_member
Kharkiv | Varna | twinned_administrative_body
Sean Astin | Film director | occupation
Three Upbuilding Discourses, 1844 | Philosophy | genre
Pinocchio and the Emperor of the Night | Jonathan Harris | cast_member
Jacobus Enschedé | Haarlem | place_of_death
National Congress (Sudan) | Islamism | political_ideology
Mr. President (TV series) | Marc Daniels | director
50 Cent | Businessperson | occupation
Mashhad | Fresno, California | twinned_administrative_body
It's Magic, Charlie Brown | Ed Bogas | composer
Ilinka Mitreva | Skopje | place_of_birth
Tutt'al più | Laura Pausini | performer
The Ghost Breaker (1914 film) | Cecil B. DeMille | director
Azaran, Mazandaran | Babol County | part_of
I've Always Loved You | Borden Chase | screenwriter
U-571 (film) | StudioCanal | production_company
Andrei Taratukhin | Russia | country_of_citizenship
Money on My Mind | Sam Smith (singer) | performer
Eric Fellner | United Kingdom | country_of_citizenship
University of Bonn | Bonn | located_in_the_administrative_territorial_entity
Under the Weather | Another Place to Fall | followed_by
Frank Johnson (basketball) | Houston Rockets | member_of_sports_team
Andrei Zubarev | Russia | country_of_citizenship
Firstborn (1984 film) | Film | instance_of
Bo Svenson | Film director | occupation
At Point Blank (TV series) | TVB Jade | original_broadcaster
First Anniversary (The Outer Limits) | The Outer Limits (1995 TV series) | part_of_the_series
Tarnished Lady | Walter Wanger | producer
Married to the Mob | Dean Stockwell | cast_member
The Land Before Time VIII: The Big Freeze | Film | instance_of
Mona Lisa (film) | United Kingdom | country_of_origin
Full Moon in St. Petersburg | Speak of the Dead | follows
Firestarter (film) | Giuseppe Ruzzolini | director_of_photography
Aryan (1988 film) | Film | instance_of
Charles Harding Firth | Historian | occupation
King David (film) | Film | instance_of
A Shot at Glory | Film | instance_of
The Dead Girl | Giovanni Ribisi | cast_member
The Pear Tree | Golshifteh Farahani | cast_member
Authority Always Wins | Turn! Turn! Turn! (True Blood) | follows
Ottayadipathakal | Madhu (actor) | cast_member
