21274
Gilles Mbang Ondo | Libreville | wasBornIn
Hideaki Takeda | FC Jūrmala | playsFor
Manuel De Sica | Count Max (1991 film) | wroteMusicFor
Jerry Bruckheimer | Pearl Harbor (film) | created
Nejc Pečnik | Slovenia national under-21 football team | isAffiliatedTo
Naga, Camarines Sur | Camarines Sur | isLocatedIn
Mario Bava | Hatchet for the Honeymoon | directed
Yuri Savin | FC Taganrog | isAffiliatedTo
Clyde Bruckman | Out West (1947 film) | created
Seïd Khiter | Vannes OC | playsFor
Eli Wallach | Tony Award | hasWonPrize
Chazy, New York | Clinton County, New York | isLocatedIn
Dumitru Stângaciu | Vanspor | playsFor
Phil Hardberger | Linda Morgan | isMarriedTo
Sally Eilers | Second Hand Wife | actedIn
Thomas Bangalter | On Sight | created
Alfred Newman (composer) | A Tree Grows in Brooklyn (film) | wroteMusicFor
Panagiotis Karachalios | Acharnaikos F.C. | playsFor
John Akinde | Ebbsfleet United F.C. | isAffiliatedTo
Teresa Ganzel | The Toy (1982 film) | actedIn
Vicarious Visions | Albany County, New York | isLocatedIn
Garry Marsh | P.C. Josser | actedIn
Nawazuddin Siddiqui | Bombay Talkies (film) | actedIn
Luchino Visconti | Bellissima (film) | created
Masaki Hemmi | Rochester Rhinos | playsFor
Basil Rathbone | After the Ball (1932 film) | actedIn
Oliver Petersch | Arminia Bielefeld | playsFor
French Indochina | Cambodia | isLocatedIn
Jayasurya | Iyobinte Pusthakam | actedIn
Sathaar | Agnichirakulla Thumbi | actedIn
Gilles Mbang Ondo | SC Eisenstadt | isAffiliatedTo
Terrence Howard | August Rush | actedIn
William K. Howard | Klondike Fury | directed
Reese Witherspoon | Water for Elephants (film) | actedIn
Esteban José Herrera | Argentina | isCitizenOf
Jonathan Reguero | Coruxo FC | isAffiliatedTo
S. V. Ranga Rao | Bobbili Yuddham | actedIn
Anne Hathaway | Rio (2011 film) | actedIn
Charlie Ruggles | Sudden Money | actedIn
Chandrasekhar (Tamil actor) | Kallukkul Eeram | actedIn
Malcolm McDowell | Voyage of the Damned | actedIn
Piyachart Tamaphan | Bangkok Glass F.C. | playsFor
Red Hot Chili Peppers | Taste the Pain | created
Lucas Musculus | FC Viktoria Köln | isAffiliatedTo
Shoba Chandrasekhar | Pattanathu Rajakkal | created
Wiz Khalifa | Don't Make Em Like You | created
Fabrice Ondama | Brazzaville | wasBornIn
Petar Mudreša | FK Radnički Sombor | playsFor
Joan Blondell | Dick Powell | isMarriedTo
Emeric Pressburger | The Great Barrier (film) | created
Hasanabad, Semnan | Central District (Semnan County) | isLocatedIn
Alexandru Iacob | FC Delta Dobrogea Tulcea | isAffiliatedTo
Prithviraj Kapoor | Raj Kapoor | hasChild
Paul Giamatti | Ratchet & Clank (film) | actedIn
Lyle Talbot | Red Hot Tires (1935 film) | actedIn
Horace B. Carpenter | The Explorer (film) | actedIn
George Newbern | The Evening Star | actedIn
Rodney Jerkins | Angel (Natasha Bedingfield song) | created
Alice Faye | Poor Little Rich Girl (1936 film) | actedIn
Héctor Ramos | Sevilla FC Puerto Rico | isAffiliatedTo
Trevor Howard | Outcast of the Islands | actedIn
Luciano Goux | Club Social y Deportivo Tristán Suárez | playsFor
Helen Mirren | Brighton Rock (2010 film) | actedIn
Michael Rennie | The Root of All Evil (1947 film) | actedIn
Manuel Fleitas Solich | Club Nacional | playsFor
Glenn Farr | Norma Jean & Marilyn | edited
Nir Berkovic | Maccabi Netanya F.C. | playsFor
Rajasekhar (actor) | America Abbayi | actedIn
Toni Collette | The Yellow Birds (film) | actedIn
Stéphane Audran | Betty (film) | actedIn
John Diffley | HFC Haarlem | playsFor
Mark Helfrich (film editor) | Nowhere to Run (1993 film) | edited
Agnès Jaoui | Under the Rainbow (2013 film) | directed
Jonny Lee Miller | Mindhunters | actedIn
Jack Webb | Emergency! | created
Silvana Pampanini | Vortice | actedIn
Nelson Riddle | The Maltese Bippy | wroteMusicFor
Jonathan Davis | Make Me Bad | created
Soma Novothny | FC Veszprém | playsFor
Javier Navarrete | Mirrors (film) | wroteMusicFor
Sean Connery | Rising Sun (film) | actedIn
J. Lee Thompson | Firewalker (film) | directed
Peter Bogdanovich | The Dukes (film) | actedIn
